"Balancing Authority","Directly Interconnected Balancing Authority","Interchange (MW)","UTC Time at End of Hour","DIBA_Region"
AECI,MISO,296,05/22/2025 7:00:00 PM,MIDW
AECI,SPA,92,05/22/2025 7:00:00 PM,CENT
AECI,SWPP,231,05/22/2025 7:00:00 PM,CENT
AECI,TVA,191,05/22/2025 7:00:00 PM,TEN
AECI,MISO,254,05/22/2025 8:00:00 PM,MIDW
AECI,SPA,95,05/22/2025 8:00:00 PM,CENT
AECI,SWPP,278,05/22/2025 8:00:00 PM,CENT
AECI,TVA,196,05/22/2025 8:00:00 PM,TEN
AECI,MISO,207,05/22/2025 9:00:00 PM,MIDW
AECI,SPA,11,05/22/2025 9:00:00 PM,CENT
AECI,SWPP,397,05/22/2025 9:00:00 PM,CENT
AECI,TVA,193,05/22/2025 9:00:00 PM,TEN
AECI,MISO,326,05/22/2025 10:00:00 PM,MIDW
AECI,SPA,-24,05/22/2025 10:00:00 PM,CENT
AECI,SWPP,335,05/22/2025 10:00:00 PM,CENT
AECI,TVA,208,05/22/2025 10:00:00 PM,TEN
AECI,MISO,515,05/22/2025 11:00:00 PM,MIDW
AECI,SPA,-104,05/22/2025 11:00:00 PM,CENT
AECI,SWPP,15,05/22/2025 11:00:00 PM,CENT
AECI,TVA,220,05/22/2025 11:00:00 PM,TEN
AECI,MISO,609,05/23/2025 12:00:00 AM,MIDW
AECI,SPA,-99,05/23/2025 12:00:00 AM,CENT
AECI,SWPP,-35,05/23/2025 12:00:00 AM,CENT
AECI,TVA,236,05/23/2025 12:00:00 AM,TEN
AECI,MISO,813,05/23/2025 1:00:00 AM,MIDW
AECI,SPA,-204,05/23/2025 1:00:00 AM,CENT
AECI,SWPP,-81,05/23/2025 1:00:00 AM,CENT
AECI,TVA,219,05/23/2025 1:00:00 AM,TEN
AECI,MISO,839,05/23/2025 2:00:00 AM,MIDW
AECI,SPA,-200,05/23/2025 2:00:00 AM,CENT
AECI,SWPP,-120,05/23/2025 2:00:00 AM,CENT
