pl_name,hostname,pl_letter,sy_pnum,soltype,default_flag,pl_refname,pl_pubdate,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,disc_year,discoverymethod,sy_dist
"Kepler-164 d","Kepler-164","d",4,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",28.98671115410,,,,,,,,,,2014,"Transit",890.75800000
"Kepler-164 e","Kepler-164","e",4,"Published Confirmed",0,"<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>","2016-07",94.90049708000,,,,,,,,,,2023,"Transit",890.75800000
"Kepler-164 e","Kepler-164","e",4,"Published Confirmed",0,"<a refstr=VALIZADEGAN_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...28V/abstract target=ref>Valizadegan et al. 2023</a>","2023-07",94.88649750000,4.00199986,,,0,,,,,,2023,"Transit",890.75800000
"Kepler-1640 b","Kepler-1640","b",1,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",7.58441260000,4.82000000,2.48000000,-0.80000000,0,,,,,,2016,"Transit",1859.78000000
"Kepler-1640 b","Kepler-1640","b",1,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",7.58457100840,,,,,,,,,,2016,"Transit",1859.78000000
"Kepler-1641 b","Kepler-1641","b",2,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",19.67226600000,3.11000000,1.13000000,-0.58000000,0,,,,,,2016,"Transit",860.37000000
"Kepler-1641 b","Kepler-1641","b",2,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.91200000,0.54100000,-0.27800000,0,,,,,,2016,"Transit",860.37000000
"Kepler-1641 b","Kepler-1641","b",2,"Published Confirmed",0,"<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>","2019-03",19.67167240340,,,,,,,,,,2016,"Transit",860.37000000
"Kepler-1641 c","Kepler-1641","c",2,"Published Confirmed",1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","2016-05",32.65721200000,2.95000000,0.98000000,-0.49000000,0,,,,,,2016,"Transit",860.37000000
"Kepler-1641 c","Kepler-1641","c",2,"Published Confirmed",0,"<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>","2018-10",,2.67300000,0.24100000,-0.20200000,0,,,,,,2016,"Transit",860.37000000
